airline,depart_time,arrive_time,duration,price,direction,import_time,type
VietJet Air,09:10,11:15,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-10 18:07:04.018844,cheapest
VietJet Air,10:40,12:45,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-10 18:07:04.018844,cheapest
VietJet Air,14:15,16:20,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-10 18:07:04.018844,cheapest
VietJet Air,09:40,11:45,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-10 18:07:04.018844,cheapest
VietJet Air,11:50,13:55,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-10 18:07:04.018844,cheapest
VietJet Air,13:15,15:20,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-10 18:07:04.018844,cheapest
VietJet Air,16:55,19:00,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-10 18:07:04.018844,cheapest
Jetstar,12:30,14:40,2h 10m,1973696,Phu Quoc -> Hanoi,2019-03-10 18:07:04.018844,family
VietJet Air,09:10,11:15,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:21:03.185111,cheapest
VietJet Air,10:40,12:45,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:21:03.185111,cheapest
VietJet Air,14:15,16:20,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:21:03.185111,cheapest
VietJet Air,09:40,11:45,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:21:03.185111,cheapest
VietJet Air,11:50,13:55,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:21:03.185111,cheapest
VietJet Air,13:15,15:20,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:21:03.185111,cheapest
VietJet Air,16:55,19:00,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:21:03.185111,cheapest
Jetstar,12:30,14:40,2h 10m,1973696,Phu Quoc -> Hanoi,2019-03-11 00:21:03.185111,family
VietJet Air,09:10,11:15,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:37:51.376380,cheapest
VietJet Air,10:40,12:45,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:37:51.376380,cheapest
VietJet Air,14:15,16:20,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:37:51.376380,cheapest
VietJet Air,09:40,11:45,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:37:51.376380,cheapest
VietJet Air,11:50,13:55,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:37:51.376380,cheapest
VietJet Air,13:15,15:20,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:37:51.376380,cheapest
VietJet Air,16:55,19:00,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 00:37:51.376380,cheapest
Jetstar,12:30,14:40,2h 10m,1973696,Phu Quoc -> Hanoi,2019-03-11 00:37:51.376380,family
VietJet Air,09:10,11:15,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 01:29:51.042972,cheapest
VietJet Air,10:40,12:45,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 01:29:51.042972,cheapest
VietJet Air,14:15,16:20,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 01:29:51.042972,cheapest
VietJet Air,09:40,11:45,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 01:29:51.042972,cheapest
VietJet Air,11:50,13:55,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 01:29:51.042972,cheapest
VietJet Air,13:15,15:20,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 01:29:51.042972,cheapest
VietJet Air,16:55,19:00,2h 5m,1410031,Phu Quoc -> Hanoi,2019-03-11 01:29:51.042972,cheapest
Jetstar,12:30,14:40,2h 10m,1973696,Phu Quoc -> Hanoi,2019-03-11 01:29:51.042972,family
